epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
72,1633.08,0.75704,1.28983,0.75897,1.04403,0,0.85559,0.75278,0.85292,0.51689,0.76498,0.70426,0.77632,0.46738,1.52972,3.27547,1.3425,1.75873,0,0.000371375,0.000371375,0.000371375
73,1676.71,0.78045,1.31856,0.73978,1.05724,0,0.71326,0.76369,0.75868,0.48272,0.68127,0.74008,0.71115,0.43611,1.57504,3.32198,1.50254,1.76152,0,0.000359,0.000359,0.000359
74,1720.79,0.75573,1.28442,0.79698,1.05324,0,0.70457,0.73413,0.72831,0.47838,0.69915,0.70834,0.69489,0.44101,1.59663,3.17221,1.44266,1.79459,0,0.000346625,0.000346625,0.000346625
75,1764.51,0.76,1.34337,0.73528,1.02539,0,0.62974,0.82771,0.75586,0.49244,0.73404,0.65675,0.71009,0.4317,1.62212,3.05903,1.35258,1.82365,0,0.00033425,0.00033425,0.00033425
76,1807.08,0.74108,1.31855,0.73045,1.03896,0,0.71268,0.78237,0.7765,0.50253,0.66758,0.72558,0.72431,0.42141,1.69119,3.05229,1.35888,1.88885,0,0.000321875,0.000321875,0.000321875
77,1850.62,0.74712,1.30352,0.71263,1.00928,0,0.72803,0.74629,0.76316,0.49532,0.66476,0.76204,0.73247,0.4195,1.64136,3.14073,1.27582,1.87369,0,0.0003095,0.0003095,0.0003095
78,1891.36,0.75324,1.29458,0.71172,1.01634,0,0.68102,0.78331,0.77232,0.47545,0.67115,0.82727,0.77936,0.44822,1.61481,3.26582,1.26988,1.79643,0,0.000297125,0.000297125,0.000297125
79,1932.88,0.71955,1.26564,0.6722,1.0056,0,0.69579,0.82237,0.83124,0.489,0.70878,0.83237,0.81386,0.45786,1.58929,3.17166,1.27273,1.75399,0,0.00028475,0.00028475,0.00028475
80,1973.12,0.70268,1.30095,0.71453,1.01789,0,0.70743,0.79365,0.76838,0.49059,0.76625,0.81683,0.7991,0.44342,1.59003,3.12364,1.24057,1.76707,0,0.000272375,0.000272375,0.000272375
81,2013.82,0.72299,1.29419,0.69365,1.03214,0,0.63848,0.79309,0.7632,0.48084,0.75499,0.73413,0.7655,0.44013,1.616,3.09523,1.26355,1.79093,0,0.00026,0.00026,0.00026
82,2054.92,0.73653,1.19951,0.66567,1.00595,0,0.7163,0.66873,0.7218,0.46544,0.77591,0.73362,0.75649,0.42775,1.58722,3.04121,1.32108,1.78994,0,0.000247625,0.000247625,0.000247625
83,2096.16,0.68965,1.24745,0.65747,1.00187,0,0.67701,0.6746,0.71079,0.46004,0.72747,0.59099,0.71741,0.43899,1.58662,3.02877,1.2595,1.83514,0,0.00023525,0.00023525,0.00023525
84,2136.98,0.71271,1.24074,0.68213,0.99875,0,0.59965,0.6746,0.71121,0.44585,0.75669,0.57841,0.70186,0.43902,1.63574,3.08027,1.30229,1.90937,0,0.000222875,0.000222875,0.000222875
85,2180,0.67613,1.19819,0.66032,1.01626,0,0.64951,0.71177,0.72877,0.4568,0.58526,0.70092,0.69931,0.44194,1.6402,3.17409,1.23796,1.95596,0,0.0002105,0.0002105,0.0002105
86,2220.91,0.70797,1.19803,0.66141,0.98,0,0.70689,0.76984,0.79751,0.47316,0.7448,0.62948,0.71647,0.46111,1.61721,3.2749,1.28104,1.96339,0,0.000198125,0.000198125,0.000198125
87,2263.45,0.70472,1.18578,0.66703,0.99565,0,0.71301,0.81382,0.81941,0.47382,0.66446,0.64066,0.69134,0.43679,1.60659,3.39306,1.30578,1.94541,0,0.00018575,0.00018575,0.00018575
